FECHAS;Amazonas;Antioquia;Arauca;Atlántico;Barranquilla;Bogotá;Bolívar;Cartagena;Boyacá;Caldas;Caquetá;Casanare;Cauca;Cesar;Chocó;Córdoba;Cundinamarca;Guainía;Guaviare;Huila;La Guajira;Magdalena;Santa Marta;Meta;Nariño;Norte de Santander;Putumayo;Quindío;Risaralda;San Andrés y Providencia;Santander;Sucre;Tolima;Valle del Cauca;Buenaventura;Vaupés;Vichada;Empresas privadas*
17/02/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0
18/02/2021;0;1019;0;0;631;5486;0;79;0;0;0;0;0;0;0;188;1199;0;0;0;0;0;0;0;0;0;0;0;0;0;185;114;0;328;0;0;0;0
19/02/2021;0;1196;0;85;531;6990;282;198;0;638;0;0;0;236;0;649;570;0;0;0;0;210;492;0;0;168;0;95;453;0;638;328;0;1470;0;0;0;0
20/02/2021;0;1492;0;203;465;90;0;197;676;344;0;0;666;294;0;488;0;0;0;214;0;0;228;0;474;496;0;156;311;0;499;168;594;1637;78;0;0;0
21/02/2021;0;2028;0;270;218;0;0;108;396;0;0;0;0;217;0;0;0;0;0;102;0;0;0;0;482;307;0;168;96;0;579;0;492;692;0;0;0;0
22/02/2021;0;735;120;0;613;0;0;301;0;0;149;24;0;101;144;0;0;0;0;271;0;0;0;348;447;197;66;116;48;0;468;72;257;928;0;0;0;0
23/02/2021;0;100;0;0;66;10;0;337;0;0;96;174;0;48;0;0;0;20;79;338;0;0;0;402;219;162;48;0;0;42;19;0;0;89;0;0;24;0
24/02/2021;1783;0;0;0;14;629;0;30;2;0;25;60;0;130;0;2;1244;154;0;149;0;0;0;209;135;0;36;0;0;0;0;0;0;0;0;175;0;0
25/02/2021;2350;650;0;0;43;11333;0;0;393;0;0;42;0;24;0;0;2709;1126;0;216;0;0;0;0;19;12;24;56;0;0;0;0;0;1873;0;181;0;0
26/02/2021;2587;2293;116;240;57;10055;0;73;933;0;0;0;0;0;0;0;3277;1092;0;186;86;0;0;0;145;0;0;484;0;0;0;0;0;1879;0;213;18;0
