FECHA;ORIGEN;LAB;RECIBIDAS;RECIBIDAS MES;MES
15/02/2021;Bilateral;Pfizer;50310;;febrero
20/02/2021;Bilateral;Sinovac;192000;;febrero
24/02/2021;Bilateral;Pfizer;50310;292620;febrero
1/03/2021;COVAX;Pfizer;117000;;marzo
3/03/2021;Bilateral;Pfizer;99450;;marzo
6/03/2021;Bilateral;Sinovac;958764;;marzo
7/03/2021;Bilateral;Sinovac;574880;;marzo
10/03/2021;Bilateral;Pfizer;99450;;marzo
17/03/2021;Bilateral;Pfizer;100620;;marzo
20/03/2021;COVAX;AstraZeneca;244800;;marzo
20/03/2021;Bilateral;Sinovac;774320;;marzo
24/03/2021;Bilateral;Pfizer;23400;;marzo
25/03/2021;Bilateral;Pfizer;77220;;marzo
31/03/2021;Bilateral;Pfizer;100620;3170524;marzo
3/04/2021;Bilateral;Pfizer;280800;;abril
9/04/2021;Bilateral;Pfizer;270270;;abril
11/04/2021;Bilateral;Sinovac;500000;;abril
12/04/2021;Bilateral;Pfizer;551070;;abril
21/04/2021;Bilateral;Pfizer;549900;;abril
25/04/2021;COVAX;AstraZeneca;912000;;abril
27/04/2021;Bilateral;Sinovac;1000000;;abril
28/04/2021;Bilateral;Pfizer;549900;4613940;abril
2/05/2021;Bilateral;Sinovac;1000000;;mayo
5/05/2021;Bilateral;Pfizer;391950;;mayo
9/05/2021;Bilateral;Sinovac;1000040;;mayo
12/05/2021;Bilateral;Pfizer;391950;;mayo
16/05/2021;Bilateral;Sinovac;500000;;mayo
17/05/2021;COVAX;Pfizer;546390;;mayo
19/05/2021;Bilateral;Pfizer;391950;;mayo
23/05/2021;Bilateral;Sinovac;1000000;;mayo
24/05/2021;COVAX;Pfizer;546390;;mayo
26/05/2021;Bilateral;Pfizer;394290;6162960;mayo
2/06/2021;Bilateral;Pfizer;538200;;junio
3/06/2021;Bilateral;Pfizer;539370;;junio
3/06/2021;COVAX;AstraZeneca;909600;;junio
6/06/2021;Bilateral;Sinovac;1000000;;junio
9/06/2021;Bilateral;Pfizer;538200;;junio
10/06/2021;Bilateral;Pfizer;539370;;junio
13/06/2021;Bilateral;AstraZeneca;204000;;junio
16/06/2021;Bilateral;Pfizer;538200;;junio
17/06/2021;Bilateral;Pfizer;539370;;junio
19/06/2021;Bilateral;AstraZeneca;126900;;junio
23/06/2021;Bilateral;Janssen;480000;;junio
23/06/2021;Bilateral;Pfizer;539370;;junio
24/06/2021;Bilateral;Pfizer;539370;;junio
26/06/2021;Bilateral;Sinovac;1500000;;junio
29/06/2021;Bilateral;Pfizer;540540;;junio
30/06/2022;Bilateral;Pfizer;539370;9611860;junio
1/07/2021;Donacion;Janssen;2500000;;julio
7/07/2021;Bilateral;Pfizer;104130;;julio
10/07/2021;Bilateral;Sinovac;1000000;;julio
11/07/2021;Bilateral;AstraZeneca;408000;;julio
11/07/2021;Bilateral;Sinovac;1000000;;julio
14/07/2021;Bilateral;Pfizer;132210;;julio
17/07/2021;Bilateral;AstraZeneca;326400;;julio
18/07/2021;Bilateral;AstraZeneca;139800;;julio
21/07/2021;Bilateral;Pfizer;308880;;julio
25/07/2021;Donacion;Moderna;3500000;;julio
28/07/2021;Bilateral;Pfizer;443430;9862850;julio
4/08/2021;Bilateral;Pfizer;524160;;agosto
8/08/2021;Bilateral;AstraZeneca;204000;;agosto
11/08/2021;Bilateral;Pfizer;394290;;agosto
11/08/2021;Bilateral;AstraZeneca;591100;;agosto
14/08/2021;Bilateral;Moderna;150000;;agosto
18/08/2021;Bilateral;Pfizer;372060;;agosto
19/08/2021;Bilateral;AstraZeneca;163200;;agosto
25/08/2021;Bilateral;Pfizer;381420;;agosto
31/08/2021;Bilateral;Pfizer;620100;3400330;agosto
2/09/2021;Bilateral;AstraZeneca;408000;;septiembre
8/09/2021;Bilateral;Pfizer;339300;;septiembre
8/09/2021;Bilateral;AstraZeneca;752400;;septiembre
13/09/2021;COVAX;Sinovac;2097600;;septiembre
13/09/2021;Donacion;AstraZeneca;957600;;septiembre
15/09/2021;Bilateral;Pfizer;339300;;
44458;Bilateral;Moderna;689220;5583420;septiembre
